COD_DANE,NOMBRE_MUNI,POB_TOTAL,POB_15_19,POB_15_24,PCT_MUJERES_15_24,PCT_RURAL,N_MATRIC_VIVE,PCT_MUJERES_MATRIC,N_MATRIC_NACE,N_BENEF,PCT_VICTIMAS_BENEF,PROM_GLOBAL_SABER,PROM_MATEMATICAS_SABER,PROM_LECTURA_SABER,N_EVALUADOS,EVALUADOS_POR_PERIODO,BRECHA_OFICIAL_SABER,BRECHA_GENERO_SABER,NOM_MPIO,longitud,latitud,TASA_MATRIC_VIVE,TASA_MATRIC_NACE,TASA_BENEF,BRECHA_GENERO_MATRIC
05150,CAROLINA,3343,277,470,47.4468085106383,20.96918935088244,2,50.0,2,147,11.564625850340136,238.96296296296296,47.51851851851852,51.18518518518518,162,81.0,,-2.571964956195245,CAROLINA,-75.283192,6.725995,4.25531914893617,4.25531914893617,530.6859205776174,2.5531914893617014
05154,CAUCASIA,84717,8395,15868,51.30451222586338,12.258460521500998,640,61.40624999999999,544,114,21.929824561403507,244.31125265392782,50.040339702760086,52.18131634819533,4710,2355.0,4.63361344537816,-13.188880314907266,CAUCASIA,-75.197996,7.977278,40.332745147466596,34.282833375346605,13.579511614055985,10.101737774136616
05172,CHIGORODO,55564,6073,11369,50.277069223326585,16.231732776617953,411,57.420924574209245,275,326,48.15950920245399,225.24618261140543,46.24836397631661,48.78871922717357,3209,1069.6666666666667,39.50670161665204,-5.915304324920555,CHIGORODO,-76.681531,7.666147,36.150936757850296,24.18858298882927,53.68022394203853,7.14385535088266
05190,CISNEROS,8910,684,1320,51.287878787878796,13.5016835016835,0,,6,150,20.0,229.89162561576356,48.039408866995075,49.02463054187192,406,203.0,,-4.176908942425456,CISNEROS,-75.087047,6.537829,0.0,4.545454545454545,219.29824561403507,
05197,COCORNA,14743,1316,2435,50.26694045174538,59.53333785525334,12,58.333333333333336,13,114,59.64912280701754,246.56134969325154,50.37116564417178,52.86503067484663,652,326.0,-74.79076923076923,-11.23139318640446,COCORNA,-75.185483,6.058295,4.9281314168377826,5.338809034907597,86.62613981762918,8.066392881587959
05206,CONCEPCION,3936,311,598,45.1505016722408,54.92886178861789,5,100.0,4,95,37.89473684210527,229.72619047619048,46.54761904761905,49.976190476190474,168,84.0,,1.9988558352402777,CONCEPCION,-75.257587,6.394348,8.361204013377925,6.688963210702341,305.4662379421222,54.8494983277592
05209,CONCORDIA,16095,1556,2798,49.92852037169407,57.72600186393289,5,60.0,4,124,9.67741935483871,216.99287410926365,43.541567695961994,46.843230403800476,842,421.0,,-6.385657370517947,CONCORDIA,-75.908448,6.045738,1.7869907076483202,1.4295925661186561,79.69151670951156,10.07147962830593
05212,COPACABANA,76479,5875,12922,49.945828819068254,18.631258253899762,7,57.14285714285714,2,29,10.344827586206897,261.01190476190476,52.82328042328042,55.21719576719577,3780,945.0,31.07493290842001,-10.663470129823168,COPACABANA,-75.509384,6.348557,0.5417118093174431,0.15477480266212662,4.9361702127659575,7.197028323788885
05234,DABEIBA,22717,2318,4215,49.98813760379597,60.923537438922395,19,73.68421052631578,28,150,70.0,210.88201160541587,42.29013539651837,46.04448742746615,1034,517.0,,-3.3388966806919314,DABEIBA,-76.261614,6.998112,4.507710557532621,6.6429418742586,64.71095772217429,23.69607292251981
05237,DONMATIAS,14208,1317,2626,52.17060167555218,22.08614864864865,0,,3,18,0.0,246.29834254143645,50.027624309392266,52.17955801104972,724,362.0,38.87304021813222,-12.521316455696223,DONMATIAS,-75.39263,6.485603,0.0,1.1424219345011426,13.66742596810934,
05240,EBEJICO,10338,856,1456,44.43681318681318,82.25962468562584,0,,0,167,4.191616766467066,225.57201646090536,46.31687242798354,48.17695473251029,486,243.0,,-6.500631313131322,EBEJICO,-75.766413,6.325615,0.0,0.0,195.09345794392524,
05250,EL BAGRE,47642,5185,9107,49.1380256945207,37.89513454514924,49,65.3061224489796,54,353,24.929178470254957,216.01186943620178,43.426557863501486,46.996290801186944,2696,1348.0,0.34906302183190974,-4.66504735681562,EL BAGRE,-74.799097,7.5975,5.380476556495004,5.929504776545514,68.08100289296046,16.168096754458894
05264,ENTRERRIOS,8820,783,1599,49.15572232645403,42.02947845804989,3,66.66666666666666,5,126,4.761904761904762,261.14814814814815,52.79012345679013,54.10288065843621,486,243.0,46.53289188015631,-9.532258064516157,ENTRERRIOS,-75.517685,6.566273,1.876172607879925,3.1269543464665417,160.91954022988506,17.510944340212625
05266,ENVIGADO,212437,13008,29281,49.77972063795635,4.5679424958929005,11,45.45454545454545,28,0,,286.3516282844679,57.87704169625647,59.34574414121944,9857,1408.142857142857,37.60880070524229,-7.837608613089003,ENVIGADO,-75.582192,6.166695,0.375670229841877,0.9562514941429596,0.0,-4.325175183410899
05282,FREDONIA,18790,1475,2779,47.930910399424256,58.83448642895157,1,100.0,8,22,0.0,228.4691629955947,45.50440528634361,49.35022026431718,908,454.0,,-11.214804292929301,FREDONIA,-75.675072,5.928039,0.3598416696653472,2.8787333573227776,14.915254237288137,52.069089600575744
05284,FRONTINO,20156,1999,3634,47.85360484314805,59.87795197459813,2,50.0,4,125,40.0,237.0185185185185,48.19444444444444,51.067129629629626,864,432.0,,-0.934667246628976,FRONTINO,-76.130765,6.776066,0.550357732526142,1.100715465052284,62.531265632816414,2.146395156851952
05306,GIRALDO,5057,473,871,49.13892078071183,63.37749653945026,14,71.42857142857143,8,89,4.49438202247191,219.74468085106383,43.255319148936174,48.177304964539005,282,141.0,,-13.409963250306248,GIRALDO,-75.952158,6.680808,16.073478760045923,9.184845005740529,188.16067653276954,22.289650647859602
