COD_DANE,NOMBRE_MUNI,TIPOLOGIA,CLUSTER,INDICE_BRECHA,POB_15_19,PCT_RURAL,TASA_MATRIC_VIVE,TASA_BENEF,PROM_GLOBAL_SABER,BRECHA_GENERO_MATRIC
05483,NARINO,C2 · alta % rural y baja Saber 11 global,1,75.0,887,68.09252586307102,11.019283746556475,100.33821871476889,218.98285714285714,19.85192837465565
05086,BELMIRA,C2 · alta % rural y baja Saber 11 global,1,74.9,587,70.05047672462142,0.0,209.54003407155025,222.57068062827224,
05847,URRAO,C2 · alta % rural y baja Saber 11 global,1,74.8,2904,46.22121086746655,0.7552870090634441,62.67217630853994,223.2607099143207,26.000755287009063
05113,BURITICA,C2 · alta % rural y baja Saber 11 global,1,74.7,749,72.46591982723714,7.027406886858748,172.22963951935915,219.25595238095238,2.705551651440615
05030,AMAGA,C2 · alta % rural y baja Saber 11 global,1,74.7,2290,51.41120763580776,0.4337453914552158,53.275109170305676,231.30993150684932,51.89763608761657
05642,SALGAR,C2 · alta % rural y baja Saber 11 global,1,74.4,1454,62.85641870485363,2.9476787030213707,96.28610729023383,232.34101382488478,-12.168386145910098
05789,TAMESIS,C2 · alta % rural y baja Saber 11 global,1,74.3,1255,54.016786570743406,0.44208664898320066,78.08764940239044,231.08212560386474,50.176834659593275
05885,YALI,C2 · alta % rural y baja Saber 11 global,1,74.1,585,51.106833493743984,0.9596928982725528,170.94017094017093,210.64596273291926,50.95969289827255
05040,ANORI,C2 · alta % rural y baja Saber 11 global,1,74.0,1485,51.420493725003446,2.4813895781637716,238.3838383838384,195.55882352941177,22.97057780928749
05495,NECHI,C2 · alta % rural y baja Saber 11 global,1,74.0,2494,45.96110695587136,5.510907003444316,109.86367281475542,207.9762202753442,22.498086490623812
05679,SANTA BARBARA,C2 · alta % rural y baja Saber 11 global,1,73.7,1832,52.95506128007263,0.29550827423167847,37.66375545851528,240.45720250521921,52.3936170212766
05665,SAN PEDRO DE URABA,C2 · alta % rural y baja Saber 11 global,1,73.5,3321,59.137812428342116,12.776243093922652,55.70611261668172,220.27348394768134,13.149544572196504
05790,TARAZA,C2 · alta % rural y baja Saber 11 global,1,73.5,2399,44.77788486813283,5.074915418076365,75.44810337640683,216.00151975683892,16.811664250040273
05854,VALDIVIA,C2 · alta % rural y baja Saber 11 global,1,73.4,1233,72.21787855095127,3.5666518056174765,188.15896188158962,227.9375,14.974364690147127
05674,SAN VICENTE FERRER,C2 · alta % rural y baja Saber 11 global,1,73.1,1577,70.55564788654368,11.082963901203295,25.99873176918199,243.03899082568807,16.657016194698272
05656,SAN JERONIMO,C2 · alta % rural y baja Saber 11 global,1,72.9,1153,50.53959568323454,9.238891333040035,0.0,230.56598240469208,8.220727798378476
05107,BRICENO,C2 · alta % rural y baja Saber 11 global,1,72.3,599,58.69492095526404,1.8018018018018018,175.29215358931552,223.2921348314607,1.7117117117117076
05893,YONDO,C2 · alta % rural y baja Saber 11 global,1,71.9,1655,45.92828323009604,0.0,103.92749244712991,227.90140845070422,
05250,EL BAGRE,C2 · alta % rural y baja Saber 11 global,1,71.8,5185,37.89513454514924,5.380476556495004,68.08100289296046,216.01186943620178,16.168096754458894
05649,SAN CARLOS,C2 · alta % rural y baja Saber 11 global,1,71.7,1292,51.26381215469613,2.9585798816568047,95.97523219814241,230.19700748129677,10.481825866441248
05576,PUEBLORRICO,C2 · alta % rural y baja Saber 11 global,1,71.6,675,47.13968342127187,6.717044500419815,48.88888888888889,228.01951219512196,26.301427371956336
05819,TOLEDO,C2 · alta % rural y baja Saber 11 global,1,70.9,450,65.51724137931035,1.2106537530266344,277.77777777777777,218.3975903614458,-45.64164648910412
05347,HELICONIA,C2 · alta % rural y baja Saber 11 global,1,70.3,369,55.82926311318751,0.0,203.2520325203252,226.6043956043956,
05313,GRANADA,C1 · alta Saber 11 global y baja % rural,0,69.9,822,41.97088222511952,5.235602094240838,0.0,241.12328767123287,-12.696335078534027
05858,VEGACHI,C2 · alta % rural y baja Saber 11 global,1,69.7,1094,32.00107777977367,1.9598236158745712,116.08775137111517,215.5436408977556,50.80842724154826
05761,SOPETRAN,C2 · alta % rural y baja Saber 11 global,1,69.5,1115,53.01862089031132,13.95139513951395,92.37668161434978,220.45811518324606,15.101187538108647
05197,COCORNA,C2 · alta % rural y baja Saber 11 global,1,69.4,1316,59.53333785525334,4.9281314168377826,86.62613981762918,246.56134969325154,8.066392881587959
05091,BETANIA,C2 · alta % rural y baja Saber 11 global,1,69.2,869,60.4144836418675,17.385705086928525,66.74338319907939,227.97972972972974,18.244258424554616
05055,ARGELIA,C2 · alta % rural y baja Saber 11 global,1,69.2,707,55.687203791469194,12.510425354462052,135.78500707213578,219.03378378378378,13.878231859883236
05425,MACEO,C2 · alta % rural y baja Saber 11 global,1,69.1,609,59.28463752226942,7.005253940455342,155.99343185550083,230.4247311827957,39.6015761821366
05604,REMEDIOS,C2 · alta % rural y baja Saber 11 global,1,69.1,2248,50.6347092765202,16.96113074204947,123.22064056939503,208.01015965166908,26.966038476639177
05021,ALEJANDRIA,C2 · alta % rural y baja Saber 11 global,1,69.0,322,42.30268299036207,3.4188034188034186,102.48447204968944,229.2469135802469,3.6752136752136764
05308,GIRARDOTA,C1 · alta Saber 11 global y baja % rural,0,69.0,3917,42.57722499745132,0.2410800385728062,5.105948429920858,253.7295008912656,0.662970106075214
05652,SAN FRANCISCO,C2 · alta % rural y baja Saber 11 global,1,68.5,474,54.613233923578754,4.602991944764097,128.69198312236287,237.32911392405063,-24.712313003452245
05134,CAMPAMENTO,C2 · alta % rural y baja Saber 11 global,1,68.3,818,68.27233584499461,14.603616133518775,174.8166259168704,225.2012195121951,10.272203457182592
05002,ABEJORRAL,C2 · alta % rural y baja Saber 11 global,1,68.3,1606,60.46934484913915,9.866102889358704,73.47447073474471,244.70080862533692,22.43783348434512
05690,SANTO DOMINGO,C2 · alta % rural y baja Saber 11 global,1,67.4,825,73.18618434498264,0.6261740763932373,334.54545454545456,231.1017369727047,54.28929242329368
05585,PUERTO NARE,C2 · alta % rural y baja Saber 11 global,1,67.4,1055,67.97960694021873,5.534034311012728,312.7962085308057,219.93248945147678,12.019922523519647
05792,TARSO,C2 · alta % rural y baja Saber 11 global,1,67.1,563,42.874801342044854,1.9011406844106464,120.78152753108348,236.79090909090908,-0.4752851711026551
05660,SAN LUIS,C2 · alta % rural y baja Saber 11 global,1,67.0,1045,40.33273381294964,3.6496350364963503,85.16746411483253,237.77243589743588,36.600625651720534
