SEDE,FACULTAD,NOMBRE_MUNI_VIVE,PROGRAMA,PROB_RIESGO,DECIL_RIESGO
MEDELLIN,FACULTAD DE CIENCIAS AGRARIAS,ANDES,TECNOLOGIA EN GESTION DE INSUMOS AGROPECUARIOS,0.9744,10
CAREPA,FACULTAD DE INGENIERIA,TURBO,INGENIERIA BIOQUIMICA-URABA,0.9743,10
CAREPA,FACULTAD DE INGENIERIA,EL CARMEN DE VIBORAL,INGENIERIA BIOQUIMICA-URABA,0.9742,10
CAUCASIA,FACULTAD DE CIENCIAS EXACTAS Y NATURALES,CAUCASIA,MATEMATICAS - CAUCASIA,0.9735,10
MEDELLIN,FACULTAD DE INGENIERIA,TURBO,INGENIERIA DE TELECOMUNICACIONES REGION,0.9734,10
MEDELLIN,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA DE TELECOMUNICACIONES REGION,0.9726,10
CARMENVI,FACULTAD DE CIENCIAS ECONOMICAS,SAN FRANCISCO,DESARROLLO TERRITORIAL- CARMEN DE VIBORAL,0.972,10
TURBO,FACULTAD DE INGENIERIA,TURBO,INGENIERIA OCEANOGRAFICA - TURBO,0.9696,10
CAUCASIA,FACULTAD DE CIENCIAS EXACTAS Y NATURALES,LA APARTADA,MATEMATICAS - CAUCASIA,0.9691,10
CAREPA,FACULTAD DE CIENCIAS AGRARIAS,APARTADO,INGENIERIA AGROPECUARIA-CAREPA,0.9689,10
CAREPA,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA BIOQUIMICA-URABA,0.9685,10
CAUCASIA,FACULTAD DE CIENCIAS ECONOMICAS,CAUCASIA,CONTADURIA PUBLICA- CAUCASIA,0.9683,10
CAUCASIA,FACULTAD DE CIENCIAS EXACTAS Y NATURALES,CAUCASIA,MATEMATICAS - CAUCASIA,0.9681,10
MEDELLIN,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA DE TELECOMUNICACIONES REGION,0.9681,10
CAREPA,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA BIOQUIMICA-URABA,0.9677,10
MEDELLIN,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA AMBIENTAL REGION,0.9676,10
MEDELLIN,FACULTAD DE INGENIERIA,TURBO,INGENIERIA DE TELECOMUNICACIONES REGION,0.9668,10
APARTADO,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA CIVIL-APARTADO,0.9666,10
CAREPA,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA AGROINDUSTRIAL-URABA,0.9658,10
TURBO,FACULTAD DE CIENCIAS EXACTAS Y NATURALES,TURBO,OCEANOGRAFIA - TURBO,0.9654,10
APARTADO,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA SANITARIA-APARTADO,0.9653,10
CAREPA,FACULTAD DE INGENIERIA,NECOCLI,INGENIERIA BIOQUIMICA-URABA,0.9649,10
APARTADO,FACULTAD DE INGENIERIA,CAREPA,INGENIERIA SANITARIA-APARTADO,0.9648,10
MEDELLIN,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA INDUSTRIAL REGION,0.9644,10
MEDELLIN,FACULTAD DE INGENIERIA,CHIGORODO,INGENIERIA INDUSTRIAL REGION,0.9644,10
CAUCASIA,FACULTAD DE CIENCIAS EXACTAS Y NATURALES,CAUCASIA,MATEMATICAS - CAUCASIA,0.9638,10
ANDES,ESCUELA DE MICROBIOLOGIA,ANDES,MICROBIOLOGIA INDUSTRIAL Y AMBIENTAL-ANDES,0.9636,10
CAREPA,FACULTAD DE CIENCIAS AGRARIAS,NECOCLI,INGENIERIA AGROPECUARIA-CAREPA,0.9635,10
TURBO,FACULTAD DE INGENIERIA,TURBO,INGENIERIA OCEANOGRAFICA - TURBO,0.9634,10
CAUCASIA,FACULTAD DE CIENCIAS EXACTAS Y NATURALES,MONTELIBANO,MATEMATICAS - CAUCASIA,0.962,10
MEDELLIN,FACULTAD DE INGENIERIA,TURBO,INGENIERIA DE TELECOMUNICACIONES REGION,0.9617,10
MEDELLIN,FACULTAD DE INGENIERIA,CAREPA,INGENIERIA INDUSTRIAL REGION,0.9614,10
CAREPA,FACULTAD DE INGENIERIA,CHIGORODO,INGENIERIA BIOQUIMICA-URABA,0.9613,10
MEDELLIN,FACULTAD DE INGENIERIA,TURBO,INGENIERIA INDUSTRIAL REGION,0.9611,10
CARMENVI,FACULTAD DE CIENCIAS EXACTAS Y NATURALES,EL CARMEN DE VIBORAL,MATEMATICAS - CARMEN DE VIBORAL,0.9601,10
CAREPA,FACULTAD DE CIENCIAS AGRARIAS,ARBOLETES,INGENIERIA AGROPECUARIA-CAREPA,0.96,10
MEDELLIN,FACULTAD DE INGENIERIA,NECOCLI,INGENIERIA DE SISTEMAS - REGION,0.9595,10
MEDELLIN,FACULTAD DE INGENIERIA,SAN PEDRO DE URABA,INGENIERIA INDUSTRIAL REGION,0.9593,10
TURBO,FACULTAD DE INGENIERIA,TURBO,INGENIERIA OCEANOGRAFICA - TURBO,0.9587,10
MEDELLIN,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA DE TELECOMUNICACIONES REGION,0.9586,10
MEDELLIN,FACULTAD DE INGENIERIA,APARTADO,INGENIERIA DE SISTEMAS - REGION,0.9579,10
